S1=Date
S2=SHH Code
S3=SHZ Code
S4=Inter-Bank Code
S5=Calculation Price
S6=Yield To Maturity(%)
S7=Modified Duration
S8=Convexity
S9=Clean Price
S10=Accrued Interest
S11=Reserve
==========
20180510|019215    |101215    |120015    |100.8234  |3.3595    |3.9337    |9.0627    |100.1082  |0.7152    |          |
20180510|019216    |101216    |120016    |102.5860  |2.9334    |1.2577    |1.4163    |100.3867  |2.1993    |          |
20180510|019218    |101218    |120018    |101.4126  |4.0150    |10.7565   |71.1763   |100.9071  |0.5055    |          |
20180510|019220    |101220    |120020    |105.8639  |4.1634    |19.6250   |306.8442  |103.7544  |2.1095    |          |
20180510|019221    |101221    |120021    |102.1624  |3.3783    |4.1515    |10.1491   |100.7132  |1.4492    |          |
20180510|019303    |101303    |130003    |101.4670  |3.1245    |1.6258    |2.1249    |100.4644  |1.0026    |          |
20180510|019305    |101305    |130005    |101.1995  |3.4171    |4.3415    |10.9996   |100.4376  |0.7619    |          |
20180510|019308    |101308    |130008    |100.6683  |3.0353    |1.8517    |2.6276    |100.4610  |0.2073    |          |
20180510|019309    |101309    |130009    |100.8067  |3.9355    |11.1731   |76.6671   |100.5990  |0.2077    |          |
20180510|019310    |101310    |130010    |103.3890  |4.1706    |19.7912   |312.6046  |101.3910  |1.9980    |          |
20180510|019311    |101311    |130011    |102.5180  |3.1715    |4.5322    |12.0364   |100.9530  |1.5650    |          |
20180510|019313    |101313    |130013    |102.9469  |2.5671    |0.0534    |0.0275    |100.0177  |2.9292    |          |
20180510|019315    |101315    |130015    |103.6189  |3.0953    |2.0090    |3.0655    |100.7371  |2.8818    |          |
20180510|019316    |101316    |130016    |104.7264  |3.9936    |11.0793   |76.8234   |103.6849  |1.0415    |          |
20180510|019318    |101318    |130018    |104.0018  |3.4243    |4.6972    |12.9318   |103.1299  |0.8719    |          |
20180510|019319    |101319    |130019    |111.2218  |4.0902    |15.1079   |157.0863  |110.4915  |0.7303    |          |
20180510|019320    |101320    |130020    |104.3829  |3.1563    |2.2530    |3.7138    |102.0859  |2.2970    |          |
